sample_index,feature_csv_0,feature_csv_1,feature_csv_2,feature_csv_3,feature_csv_4,feature_csv_5,feature_csv_6,feature_csv_7,measured_output_power_0,measured_output_power_1,measured_output_power_2,measured_output_power_3,measured_output_power_4,measured_output_power_5,measured_output_power_6,measured_output_power_7,expected_output_power_from_csv_0,expected_output_power_from_csv_1,expected_output_power_from_csv_2,expected_output_power_from_csv_3,expected_output_power_from_csv_4,expected_output_power_from_csv_5,expected_output_power_from_csv_6,expected_output_power_from_csv_7,estimated_feature_diag_0,feature_error_diag_0,estimated_feature_diag_1,feature_error_diag_1,estimated_feature_diag_2,feature_error_diag_2,estimated_feature_diag_3,feature_error_diag_3,estimated_feature_diag_4,feature_error_diag_4,estimated_feature_diag_5,feature_error_diag_5,estimated_feature_diag_6,feature_error_diag_6,estimated_feature_diag_7,feature_error_diag_7,estimated_feature_lstsq_0,feature_error_lstsq_0,estimated_feature_lstsq_1,feature_error_lstsq_1,estimated_feature_lstsq_2,feature_error_lstsq_2,estimated_feature_lstsq_3,feature_error_lstsq_3,estimated_feature_lstsq_4,feature_error_lstsq_4,estimated_feature_lstsq_5,feature_error_lstsq_5,estimated_feature_lstsq_6,feature_error_lstsq_6,estimated_feature_lstsq_7,feature_error_lstsq_7,fitted_output_power_lstsq_0,fitted_output_power_lstsq_1,fitted_output_power_lstsq_2,fitted_output_power_lstsq_3,fitted_output_power_lstsq_4,fitted_output_power_lstsq_5,fitted_output_power_lstsq_6,fitted_output_power_lstsq_7,feature_mae_diag,feature_max_abs_error_diag,feature_mae_lstsq,feature_max_abs_error_lstsq,output_power_mae_vs_csv_expected,output_power_max_abs_error_vs_csv_expected
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.391952e-06,0.0001108403,2.173148e-06,1.399349e-07,1.206734e-07,6.545799e-07,7.099369e-07,8.388468e-07,0.0,0.00011999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.05326626666666667,0.05326626666666667,0.9236691666666668,-0.07633083333333324,0.01810956666666667,0.01810956666666667,0.0011661241666666667,0.0011661241666666667,0.0010056116666666668,0.0010056116666666668,0.0054548325,0.0054548325,0.005916140833333334,0.005916140833333334,0.00699039,0.00699039,0.05326626666666667,0.05326626666666667,0.9236691666666667,-0.07633083333333335,0.018109566666666667,0.018109566666666667,0.0011661241666666667,0.0011661241666666667,0.0010056116666666668,0.0010056116666666668,0.0054548325,0.0054548325,0.005916140833333334,0.005916140833333334,0.00699039,0.00699039,6.391952e-06,0.00011084029999999998,2.1731479999999996e-06,1.399349e-07,1.206734e-07,6.545799e-07,7.099369e-07,8.388468e-07,0.021029970729166656,0.07633083333333324,0.02102997072916667,0.07633083333333335,2.5235964874999997e-06,9.159699999999993e-06
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.37622e-07,6.544554e-07,0.0001090361,9.550403e-06,4.550322e-07,5.58889e-07,8.296324e-07,7.216928e-07,0.0,0.0,0.00011999999999999999,0.0,0.0,0.0,0.0,0.0,0.0028135166666666666,0.0028135166666666666,0.005453795000000001,0.005453795000000001,0.9086341666666667,-0.09136583333333326,0.07958669166666668,0.07958669166666668,0.003791935,0.003791935,0.004657408333333333,0.004657408333333333,0.006913603333333334,0.006913603333333334,0.006014106666666667,0.006014106666666667,0.0028135166666666666,0.0028135166666666666,0.005453795000000001,0.005453795000000001,0.9086341666666667,-0.09136583333333326,0.07958669166666668,0.07958669166666668,0.003791935,0.003791935,0.004657408333333333,0.004657408333333333,0.006913603333333334,0.006913603333333334,0.006014106666666667,0.006014106666666667,3.37622e-07,6.544554e-07,0.0001090361,9.550403e-06,4.550322e-07,5.58889e-07,8.296324e-07,7.216928e-07,0.025074611249999993,0.09136583333333326,0.02507461124999999,0.09136583333333326,3.008953349999999e-06,1.0963899999999992e-05
2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.35105e-07,9.417492e-07,1.96862e-06,0.0001139297,1.833416e-06,5.918802e-07,7.232084e-07,8.474931e-07,0.0,0.0,0.0,0.00011999999999999999,0.0,0.0,0.0,0.0,0.0019592083333333336,0.0019592083333333336,0.007847910000000001,0.007847910000000001,0.016405166666666665,0.016405166666666665,0.9494141666666667,-0.05058583333333333,0.015278466666666667,0.015278466666666667,0.004932335,0.004932335,0.006026736666666667,0.006026736666666667,0.007062442500000001,0.007062442500000001,0.0019592083333333336,0.0019592083333333336,0.00784791,0.00784791,0.016405166666666665,0.016405166666666665,0.9494141666666667,-0.05058583333333333,0.015278466666666667,0.015278466666666667,0.004932335,0.004932335,0.006026736666666667,0.006026736666666667,0.0070624425,0.0070624425,2.35105e-07,9.417491999999999e-07,1.96862e-06,0.0001139297,1.833416e-06,5.918802e-07,7.232084e-07,8.474930999999999e-07,0.013762262395833332,0.05058583333333333,0.013762262395833334,0.05058583333333333,1.6514714874999993e-06,6.070299999999995e-06
3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.339944e-07,6.840998e-07,1.558329e-06,1.774675e-06,0.0001145805,1.00753e-06,9.095201e-07,7.096813e-07,0.0,0.0,0.0,0.0,0.00011999999999999999,0.0,0.0,0.0,0.002783286666666667,0.002783286666666667,0.005700831666666667,0.005700831666666667,0.012986075,0.012986075,0.014788958333333335,0.014788958333333335,0.9548375000000001,-0.04516249999999988,0.008396083333333335,0.008396083333333335,0.0075793341666666675,0.0075793341666666675,0.005914010833333334,0.005914010833333334,0.002783286666666667,0.002783286666666667,0.005700831666666666,0.005700831666666666,0.012986075,0.012986075,0.014788958333333335,0.014788958333333335,0.9548375,-0.045162499999999994,0.008396083333333335,0.008396083333333335,0.0075793341666666675,0.0075793341666666675,0.005914010833333334,0.005914010833333334,3.339944e-07,6.840997999999998e-07,1.558329e-06,1.774675e-06,0.00011458049999999998,1.00753e-06,9.095201e-07,7.096813e-07,0.012913884999999986,0.04516249999999988,0.012913885,0.045162499999999994,1.5496661999999991e-06,5.419499999999991e-06
4,0.0,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,3.28295e-07,6.863522e-07,1.551017e-06,1.725307e-06,0.0001107793,1.003282e-06,9.031543e-07,7.093215e-07,0.0,0.0,0.0,0.0,0.00011623529411764704,0.0,0.0,0.0,0.002735791666666667,0.002735791666666667,0.0057196016666666676,0.0057196016666666676,0.01292514166666667,0.01292514166666667,0.014377558333333335,0.014377558333333335,0.9231608333333334,-0.045466617647058616,0.008360683333333334,0.008360683333333334,0.007526285833333334,0.007526285833333334,0.005911012500000001,0.005911012500000001,0.002735791666666667,0.002735791666666667,0.0057196016666666676,0.0057196016666666676,0.01292514166666667,0.01292514166666667,0.014377558333333335,0.014377558333333335,0.9231608333333334,-0.045466617647058616,0.008360683333333334,0.008360683333333334,0.007526285833333334,0.007526285833333334,0.0059110125,0.0059110125,3.28295e-07,6.863522e-07,1.551017e-06,1.725307e-06,0.0001107793,1.003282e-06,9.031543e-07,7.093214999999999e-07,0.012877836580882328,0.045466617647058616,0.012877836580882328,0.045466617647058616,1.5453403897058803e-06,5.455994117647042e-06
5,0.0,0.0,0.0,0.968627450980392,0.0,0.0,0.0,0.0,2.335573e-07,9.292486e-07,1.87307e-06,0.0001104794,1.779592e-06,5.853694e-07,7.211386e-07,8.401108e-07,0.0,0.0,0.0,0.00011623529411764704,0.0,0.0,0.0,0.0,0.0019463108333333335,0.0019463108333333335,0.007743738333333334,0.007743738333333334,0.015608916666666667,0.015608916666666667,0.9206616666666667,-0.047965784313725335,0.014829933333333335,0.014829933333333335,0.004878078333333334,0.004878078333333334,0.006009488333333334,0.006009488333333334,0.007000923333333334,0.007000923333333334,0.0019463108333333335,0.0019463108333333335,0.007743738333333334,0.007743738333333334,0.015608916666666667,0.015608916666666667,0.9206616666666667,-0.047965784313725335,0.014829933333333335,0.014829933333333335,0.004878078333333334,0.004878078333333334,0.0060094883333333335,0.0060094883333333335,0.007000923333333334,0.007000923333333334,2.335573e-07,9.292486e-07,1.87307e-06,0.0001104794,1.779592e-06,5.853694e-07,7.211385999999999e-07,8.401108e-07,0.013247896685049002,0.047965784313725335,0.013247896685049,0.047965784313725335,1.5897476022058803e-06,5.7558941176470425e-06
6,0.0,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,3.276323e-07,6.793535e-07,1.544041e-06,1.668615e-06,0.0001071674,1.007492e-06,8.96135e-07,7.086598e-07,0.0,0.0,0.0,0.0,0.00011247058823529409,0.0,0.0,0.0,0.002730269166666667,0.002730269166666667,0.005661279166666667,0.005661279166666667,0.012867008333333334,0.012867008333333334,0.013905125,0.013905125,0.8930616666666668,-0.04419323529411745,0.008395766666666669,0.008395766666666669,0.007467791666666668,0.007467791666666668,0.0059054983333333335,0.0059054983333333335,0.002730269166666667,0.002730269166666667,0.005661279166666667,0.005661279166666667,0.012867008333333334,0.012867008333333334,0.013905125,0.013905125,0.8930616666666668,-0.04419323529411745,0.008395766666666669,0.008395766666666669,0.007467791666666667,0.007467791666666667,0.0059054983333333335,0.0059054983333333335,3.276323e-07,6.793535e-07,1.544041e-06,1.668615e-06,0.0001071674,1.007492e-06,8.961349999999999e-07,7.086598e-07,0.012640746703431347,0.04419323529411745,0.012640746703431347,0.04419323529411745,1.5168896044117616e-06,5.303188235294092e-06
7,0.0,0.0,0.0,0.9372549019607842,0.0,0.0,0.0,0.0,2.328695e-07,9.201282e-07,1.768988e-06,0.0001064283,1.727297e-06,5.801585e-07,7.216113e-07,8.37162e-07,0.0,0.0,0.0,0.00011247058823529409,0.0,0.0,0.0,0.0,0.0019405791666666668,0.0019405791666666668,0.007667735000000001,0.007667735000000001,0.014741566666666667,0.014741566666666667,0.8869025,-0.050352401960784166,0.014394141666666669,0.014394141666666669,0.004834654166666667,0.004834654166666667,0.006013427500000001,0.006013427500000001,0.006976350000000001,0.006976350000000001,0.0019405791666666668,0.0019405791666666668,0.007667735,0.007667735,0.014741566666666667,0.014741566666666667,0.8869025,-0.050352401960784166,0.014394141666666669,0.014394141666666669,0.004834654166666667,0.004834654166666667,0.006013427500000001,0.006013427500000001,0.006976350000000001,0.006976350000000001,2.328695e-07,9.201281999999999e-07,1.768988e-06,0.0001064283,1.727297e-06,5.801585e-07,7.216113e-07,8.37162e-07,0.013365107015931355,0.050352401960784166,0.013365107015931356,0.050352401960784166,1.6038128419117616e-06,6.042288235294093e-06
8,0.0,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,3.249454e-07,6.825591e-07,1.543321e-06,1.710082e-06,0.0001100625,1.006191e-06,8.998003e-07,7.066918e-07,0.0,0.0,0.0,0.0,0.00011529411764705884,0.0,0.0,0.0,0.0027078783333333335,0.0027078783333333335,0.005687992500000001,0.005687992500000001,0.012861008333333335,0.012861008333333335,0.014250683333333335,0.014250683333333335,0.9171875,-0.0435968137254904,0.008384925,0.008384925,0.007498335833333334,0.007498335833333334,0.005889098333333334,0.005889098333333334,0.0027078783333333335,0.0027078783333333335,0.005687992500000001,0.005687992500000001,0.012861008333333335,0.012861008333333335,0.014250683333333335,0.014250683333333335,0.9171875,-0.0435968137254904,0.008384925,0.008384925,0.007498335833333334,0.007498335833333334,0.005889098333333334,0.005889098333333334,3.249454e-07,6.825591e-07,1.543321e-06,1.710082e-06,0.0001100625,1.006191e-06,8.998003e-07,7.066918e-07,0.012609591924019635,0.0435968137254904,0.012609591924019633,0.0435968137254904,1.5131510308823553e-06,5.231617647058842e-06
9,0.0,0.0,0.0,0.9607843137254904,0.0,0.0,0.0,0.0,2.32275e-07,9.266835e-07,1.85189e-06,0.0001091346,1.769064e-06,5.832053e-07,7.167438e-07,8.402399e-07,0.0,0.0,0.0,0.00011529411764705884,0.0,0.0,0.0,0.0,0.0019356250000000003,0.0019356250000000003,0.007722362500000001,0.007722362500000001,0.015432416666666667,0.015432416666666667,0.9094550000000001,-0.05132931372549032,0.0147422,0.0147422,0.0048600441666666674,0.0048600441666666674,0.005972865000000001,0.005972865000000001,0.0070019991666666675,0.0070019991666666675,0.0019356250000000003,0.0019356250000000003,0.007722362500000001,0.007722362500000001,0.015432416666666667,0.015432416666666667,0.9094550000000001,-0.05132931372549032,0.0147422,0.0147422,0.0048600441666666674,0.0048600441666666674,0.005972865000000001,0.005972865000000001,0.0070019991666666675,0.0070019991666666675,2.32275e-07,9.266835e-07,1.85189e-06,0.0001091346,1.769064e-06,5.832053e-07,7.167438e-07,8.402399e-07,0.013624603278186292,0.05132931372549032,0.013624603278186289,0.05132931372549032,1.6349523933823545e-06,6.159517647058837e-06
